status	file	url
PRESENT	P05_image_parsing_iccv2003.pdf	https://www.robots.ox.ac.uk/~cvrg/michaelmas2003/chen_iccv03.pdf
PRESENT	P06_stochastic_grammar_of_images_2006.pdf	https://dash.harvard.edu/server/api/core/bitstreams/7312037c-4e5a-6bd4-e053-0100007fdf3b/content
PRESENT	P09_understanding_tools_cvpr2015.pdf	https://www.cv-foundation.org/openaccess/content_cvpr_2015/papers/Zhu_Understanding_Tools_Task-Oriented_2015_CVPR_paper.pdf
PRESENT	P10_inferring_forces_utilities_cvpr2016.pdf	https://www.cv-foundation.org/openaccess/content_cvpr_2016/papers/Zhu_Inferring_Forces_and_CVPR_2016_paper.pdf
PRESENT	P12_social_affordance_ijcai2016.pdf	https://www.ijcai.org/Proceedings/16/Papers/488.pdf
PRESENT	P15_interpretable_cnn_cvpr2018.pdf	https://openaccess.thecvf.com/content_cvpr_2018/papers/Zhang_Interpretable_Convolutional_Neural_CVPR_2018_paper.pdf
PRESENT	P16_closed_loop_neural_symbolic_icml2020.pdf	https://proceedings.mlr.press/v119/li20f/li20f.pdf
PRESENT	P17_dark_beyond_deep_2020.pdf	https://arxiv.org/pdf/2004.09044
PRESENT	P18_acre_cvpr2021.pdf	https://openaccess.thecvf.com/content/CVPR2021/papers/Zhang_ACRE_Abstract_Causal_REasoning_Beyond_Covariation_CVPR_2021_paper.pdf
PRESENT	P19_in_situ_value_alignment_2022.pdf	https://sites.lifesci.ucla.edu/psych-cvl/wp-content/uploads/sites/162/2022/12/A122.Yuan-et-al.-scirobotics.pdf
PRESENT	P21_communicative_learning_2023.pdf	https://www.engineering.org.cn/engi/EN/PDF/10.1016/j.eng.2022.10.017
PRESENT	P22_tong_test_2024.pdf	https://www.engineering.org.cn/engi/EN/PDF/10.1016/j.eng.2023.07.006
PRESENT	P25_minimax_concept_induction_2024.pdf	https://buzz-beater.github.io/assets/publications/2024_minimax_sciadv/paper.pdf
PRESENT	P26_neural_symbolic_recursive_machine_iclr2024.pdf	https://arxiv.org/pdf/2210.01603
PRESENT	P27_leo_icml2024.pdf	https://arxiv.org/pdf/2311.12871
PRESENT	P28_civrealm_iclr2024.pdf	https://arxiv.org/pdf/2401.10568
PRESENT	P29_adasociety_neurips2024.pdf	https://papers.nips.cc/paper_files/paper/2024/file/3e4d8407cb468850f2f8f4a949e64bf0-Paper-Datasets_and_Benchmarks_Track.pdf
PRESENT	P30_proagent_aaai2024.pdf	https://www.bigai.ai/wp-content/uploads/2024/03/AAAI24_ProAgent.pdf
PRESENT	P31_clova_cvpr2024.pdf	https://openaccess.thecvf.com/content/CVPR2024/papers/Gao_CLOVA_A_Closed-LOop_Visual_Assistant_with_Tool_Usage_and_Update_CVPR_2024_paper.pdf
PRESENT	P32_social_world_model_neurips2025.pdf	https://arxiv.org/pdf/2510.19270
PRESENT	P33_physical_social_world_models_position_2025.pdf	https://arxiv.org/pdf/2510.21219
PRESENT	P34_absolute_zero_neurips2025.pdf	https://arxiv.org/pdf/2505.03335
PRESENT	P35_unifp_corl2025.pdf	https://arxiv.org/pdf/2505.20829
PRESENT	P36_tonggeometry_nmi2026.pdf	https://arxiv.org/pdf/2412.10673
PRESENT	P38_omnixtreme_preprint2026.pdf	https://arxiv.org/pdf/2602.23843
LINK_ONLY_ACCESS	P20_artificial_social_intelligence_2023.pdf	https://www.sciopen.com/article/pdf/10.26599/AIR.2022.9150010.pdf
