rater_id,item_id,sample_id,blinded_label,dimension_id,score
,item_01,item_01:sample_A,sample_A,relationship_continuity,
,item_01,item_01:sample_A,sample_A,delayed_stabilization,
,item_01,item_01:sample_A,sample_A,boundary_correctness,
,item_01,item_01:sample_B,sample_B,relationship_continuity,
,item_01,item_01:sample_B,sample_B,delayed_stabilization,
,item_01,item_01:sample_B,sample_B,boundary_correctness,
,item_01,item_01:sample_C,sample_C,relationship_continuity,
,item_01,item_01:sample_C,sample_C,delayed_stabilization,
,item_01,item_01:sample_C,sample_C,boundary_correctness,
,item_02,item_02:sample_A,sample_A,relationship_continuity,
,item_02,item_02:sample_A,sample_A,delayed_stabilization,
,item_02,item_02:sample_A,sample_A,boundary_correctness,
,item_02,item_02:sample_B,sample_B,relationship_continuity,
,item_02,item_02:sample_B,sample_B,delayed_stabilization,
,item_02,item_02:sample_B,sample_B,boundary_correctness,
,item_02,item_02:sample_C,sample_C,relationship_continuity,
,item_02,item_02:sample_C,sample_C,delayed_stabilization,
,item_02,item_02:sample_C,sample_C,boundary_correctness,
